tenure_months,sessions_per_week,feature_usage,support_tickets,is_premium,churn
27,1,44,0,1,1
35,6,33,1,0,0
1,11,9,1,1,0
35,5,9,4,1,0
14,3,4,0,0,0
3,6,35,1,0,0
1,13,17,1,0,1
5,12,34,0,0,1
26,3,24,0,1,0
14,1,32,1,0,0
27,9,1,1,0,1
9,11,8,1,0,1
15,6,45,2,1,0
15,7,23,4,1,0
26,1,47,1,0,1
13,4,40,0,0,0
32,0,12,2,0,0
32,6,12,3,0,1
4,7,46,0,0,1
30,12,47,1,0,1
23,5,15,0,0,0
15,4,41,1,0,0
29,14,19,1,0,0
13,5,26,1,0,1
32,14,29,0,0,0
7,1,22,3,1,0
22,0,40,2,1,0
28,6,21,3,0,0
2,6,38,3,0,1
6,9,20,1,1,0
28,10,29,3,1,0
28,9,4,1,0,0
20,13,7,5,0,0
30,1,28,0,0,1
11,1,28,2,0,0
28,0,4,2,0,1
25,9,22,2,0,0
33,7,12,1,0,0
1,14,45,0,0,1
27,7,3,2,0,0
13,0,22,2,0,1
3,11,44,1,0,1
6,10,2,0,0,0
8,7,24,3,0,1
27,8,34,3,1,0
9,13,27,1,0,0
33,3,41,1,1,0
24,0,1,3,1,0
15,0,8,0,0,1
32,2,23,0,0,0
32,14,38,1,0,0
24,13,6,4,1,0
12,4,22,2,1,0
2,4,25,1,1,0
3,8,18,2,0,1
17,9,17,3,0,1
2,13,12,1,0,0
2,11,6,1,0,0
28,1,26,4,0,0
23,1,27,1,0,0
32,5,8,0,1,0
33,14,19,0,0,1
1,8,42,1,0,1
19,0,1,0,0,1
2,8,29,0,1,1
26,8,45,0,1,0
32,12,49,4,0,1
6,8,35,1,0,0
32,4,40,0,0,0
4,12,14,0,1,0
11,14,35,0,0,0
17,8,48,0,0,0
24,10,45,1,0,1
5,3,20,0,0,1
34,1,49,0,1,0
6,12,13,1,0,0
22,5,38,1,0,0
11,13,49,0,0,0
16,3,46,0,0,0
33,5,49,1,1,0
9,2,8,2,0,1
6,5,43,1,1,0
16,1,20,0,1,0
29,1,33,1,0,1
3,12,26,1,0,0
20,8,39,1,0,0
19,6,21,1,1,0
26,2,49,1,0,1
3,12,42,2,0,1
19,10,43,2,0,0
20,0,41,4,1,0
32,7,9,0,0,0
7,13,24,2,0,0
33,5,37,2,0,0
18,6,49,2,0,0
1,8,41,2,1,0
11,4,17,0,0,0
28,14,24,1,1,0
25,0,21,2,0,1
23,11,39,1,0,1
31,9,41,1,0,0
30,6,39,1,0,0
35,14,13,1,0,0
7,4,11,0,0,1
16,2,46,0,0,0
26,11,19,0,0,0
2,12,11,1,0,1
1,8,13,3,1,1
12,0,46,1,0,1
5,0,45,1,0,1
32,0,1,3,0,1
9,2,40,1,1,0
35,11,44,0,1,0
19,5,19,1,0,0
16,9,12,0,1,0
3,10,8,0,0,0
20,2,8,4,0,1
24,7,45,1,1,0
33,13,12,0,1,0
24,13,48,2,0,0
11,9,33,0,1,0
8,1,45,0,0,0
20,13,26,0,1,0
35,8,39,2,0,0
25,2,28,1,0,1
35,4,5,1,0,0
25,9,8,3,0,0
29,7,25,1,0,0
18,1,27,0,0,0
18,5,46,0,0,0
2,11,23,1,0,0
35,4,30,2,0,1
16,12,45,1,0,0
33,9,47,0,0,0
4,8,23,1,1,0
33,11,49,1,1,0
14,4,47,0,1,0
21,1,20,1,0,0
20,4,18,0,1,0
8,14,18,1,0,0
7,11,2,1,0,0
3,3,4,0,0,0
17,14,30,2,1,0
33,10,33,1,0,0
12,6,36,1,0,0
22,5,18,3,0,0
22,13,37,0,1,0
30,1,19,0,0,0
8,11,47,3,0,1
27,10,28,1,0,0
27,10,40,3,0,0
34,12,20,2,0,0
21,4,49,4,0,0
30,6,33,0,1,0
33,10,12,1,0,1
28,6,15,4,0,0
33,14,41,1,0,0
5,4,39,1,0,1
19,11,2,1,0,1
4,14,29,1,0,0
35,8,41,2,0,0
17,3,10,0,1,0
28,10,2,0,0,0
30,2,11,1,0,0
29,14,13,2,1,0
6,3,10,0,0,0
35,4,14,2,1,0
24,12,18,4,0,1
29,5,9,0,0,0
31,2,39,0,1,0
35,1,28,0,0,0
33,13,3,1,0,0
21,12,20,3,1,0
32,3,6,1,0,1
23,4,27,0,0,0
33,3,2,0,0,0
3,13,29,0,1,0
18,10,38,1,1,0
25,12,3,1,0,0
31,14,16,2,0,0
3,11,30,1,1,0
24,2,40,1,0,0
32,7,2,0,0,0
22,9,17,0,1,0
23,3,41,2,1,0
2,13,12,4,1,1
27,1,35,2,0,0
2,1,43,1,0,1
26,0,1,2,0,0
17,12,45,1,0,0
33,3,15,0,0,0
9,9,26,1,1,0
29,8,37,0,0,0
26,13,21,2,1,0
35,10,49,2,0,1
25,6,31,0,0,0
24,14,25,1,0,0
13,11,23,3,0,0
7,9,24,2,0,0
20,6,38,0,1,0
1,12,28,0,1,0
8,14,21,2,0,0
16,6,43,1,0,0
14,14,18,1,1,0
12,7,36,3,0,0
23,0,35,1,0,0
15,9,45,1,0,0
28,12,9,0,1,0
34,9,38,1,0,0
2,7,30,1,0,0
32,3,44,2,1,0
23,3,34,1,0,0
22,3,32,1,0,0
25,5,3,0,0,0
22,6,3,3,1,0
22,5,28,1,0,0
6,0,44,0,1,0
15,11,15,3,0,0
33,7,41,0,0,0
8,12,23,1,1,0
5,9,40,3,0,0
4,14,11,1,0,0
6,10,48,2,0,1
32,12,32,1,0,0
30,6,36,0,0,0
35,5,33,0,0,0
16,5,24,1,0,1
13,4,39,2,1,0
30,5,34,1,0,1
19,11,28,0,1,0
17,8,37,1,0,0
19,9,7,1,0,0
28,8,4,2,0,0
26,14,37,3,0,1
26,9,1,5,0,0
23,7,1,2,1,0
9,9,47,2,1,0
12,8,20,0,1,0
1,12,19,3,0,1
1,9,29,2,1,0
34,7,10,2,0,0
32,7,18,1,0,0
25,0,28,1,1,0
1,9,35,0,0,1
16,10,43,0,0,0
5,4,47,3,0,1
22,3,31,1,0,0
29,1,27,3,1,0
3,7,11,0,0,1
12,2,49,1,1,0
26,3,49,2,0,0
16,11,38,0,0,0
22,6,5,1,0,1
29,9,8,1,0,1
14,8,34,1,0,0
28,1,48,1,1,0
5,2,12,0,1,0
30,3,38,2,1,0
5,9,1,0,1,0
12,0,31,1,1,0
16,6,4,0,0,0
26,1,49,2,1,1
26,4,45,0,0,0
21,14,5,0,0,0
33,0,30,2,0,0
30,2,24,0,0,1
23,11,3,3,0,1
10,1,11,0,1,0
5,0,45,1,0,1
34,6,4,0,0,0
31,4,26,1,0,0
10,0,27,1,0,1
19,5,46,0,0,0
32,4,43,1,0,0
1,14,27,2,0,1
5,2,42,1,0,1
4,11,6,2,1,0
16,6,15,0,1,0
24,10,30,2,0,0
16,9,42,0,0,0
2,8,37,0,0,0
28,13,37,2,1,0
32,12,42,1,0,0
27,12,37,1,0,0
20,8,35,0,1,0
24,13,23,1,0,0
12,8,6,1,0,0
35,1,4,1,0,1
33,2,18,1,1,1
33,6,9,3,1,1
12,4,49,0,1,0
3,1,29,0,0,1
1,2,13,1,0,1
33,9,47,1,1,0
10,5,17,0,1,0
29,12,45,1,0,0
13,6,32,0,1,0
12,8,48,1,0,0
31,0,22,2,0,1
2,10,4,0,0,0
35,6,5,1,0,0
23,7,37,4,1,0
17,11,41,0,0,0
26,13,49,1,0,0
8,2,13,1,1,0
29,3,34,0,1,0
26,9,45,1,0,0
10,5,22,4,0,1
26,9,23,1,0,0
34,6,3,1,0,0
7,12,42,1,1,0
4,13,34,1,1,1
11,3,32,1,0,0
29,7,45,3,0,0
25,4,49,1,0,0
21,0,21,1,1,1
10,3,46,2,0,0
9,2,44,0,0,1
24,8,21,1,0,0
35,7,44,1,0,0
35,0,11,0,0,1
18,10,39,3,0,1
32,5,4,2,1,0
24,8,1,2,1,0
23,6,28,0,1,0
32,3,24,1,0,0
12,12,35,1,0,0
13,0,13,2,0,0
23,11,47,0,0,0
25,1,34,0,1,0
35,11,11,2,0,0
30,4,36,1,0,0
17,11,17,2,1,0
20,10,35,1,1,0
25,4,18,0,0,0
22,7,40,0,0,0
13,5,22,0,0,0
19,7,24,1,0,0
12,1,19,1,0,1
19,2,37,0,0,1
12,5,39,2,1,0
9,11,21,2,0,0
7,12,8,1,0,0
28,9,28,0,0,0
14,2,5,1,0,1
31,5,17,2,1,0
19,5,37,1,0,0
16,1,36,3,0,1
5,6,19,3,0,1
35,11,27,0,1,0
12,1,34,0,0,0
25,5,11,0,1,0
21,0,45,2,0,0
23,2,47,0,0,1
16,1,12,1,0,1
14,6,21,2,1,0
31,13,11,0,1,0
5,3,39,0,0,0
35,7,28,3,0,0
23,5,5,1,0,0
29,11,17,1,0,0
11,9,20,0,0,0
18,3,41,1,1,0
12,4,46,0,1,0
9,12,12,0,0,0
10,12,6,3,0,1
17,14,17,1,1,0
7,14,19,1,1,0
13,8,26,1,0,0
9,6,48,0,0,1
27,9,44,0,0,1
2,13,44,1,0,1
5,13,32,0,0,0
29,8,6,2,0,0
19,6,36,4,0,0
8,11,38,1,0,0
1,0,11,2,0,1
22,11,33,0,0,0
17,7,24,1,1,0
7,3,23,2,1,0
25,2,15,3,0,1
4,13,27,1,0,1
6,12,11,0,1,0
31,6,17,0,0,0
19,11,14,1,0,0
27,2,27,1,0,0
10,7,18,0,0,0
26,5,28,1,0,0
19,4,47,1,1,0
3,3,47,1,0,0
13,7,4,0,0,0
28,7,7,0,1,0
20,11,45,2,0,0
28,0,35,2,0,0
8,8,48,2,0,0
1,13,9,1,0,1
3,4,8,4,0,1
13,3,45,1,0,0
28,5,17,0,0,1
25,5,17,2,0,0
33,1,49,1,0,0
6,7,33,1,0,0
32,6,32,2,0,0
21,0,8,1,0,0
16,4,19,2,0,1
21,11,38,1,1,0
11,5,3,0,0,0
35,3,5,2,0,0
19,1,13,0,1,0
20,12,47,1,0,0
18,13,46,0,0,0
14,3,31,2,1,0
15,0,16,1,1,0
31,6,32,0,0,0
1,1,22,2,0,1
3,12,29,1,0,1
16,1,22,1,1,0
23,8,43,4,0,0
11,4,3,1,0,1
12,1,10,1,1,0
10,10,42,1,0,0
32,8,21,1,1,0
16,8,16,1,0,0
8,0,12,0,0,1
12,10,2,2,0,0
24,2,41,1,1,1
28,3,24,2,0,0
8,13,35,2,0,0
28,6,30,0,0,0
26,9,30,0,1,0
8,3,47,0,1,0
28,1,35,1,0,1
28,6,19,0,0,1
27,5,8,4,1,0
17,2,26,1,0,1
9,5,49,2,0,1
33,10,40,1,0,0
20,14,7,2,1,0
13,5,30,1,0,0
28,11,7,1,0,0
29,4,3,3,0,0
13,3,1,2,0,0
35,9,36,1,0,0
6,11,25,1,0,0
18,14,37,0,0,0
5,0,1,1,0,0
25,9,15,1,0,0
2,5,37,2,1,0
10,1,13,0,1,0
30,12,40,1,1,0
5,2,8,3,0,1
33,13,5,3,0,0
1,7,9,2,0,1
18,9,1,3,1,1
32,13,36,2,1,0
11,13,35,0,1,0
21,5,2,2,0,0
26,2,40,0,0,0
25,6,23,1,0,0
22,3,9,1,0,0
27,13,34,0,0,0
13,8,46,0,1,0
33,14,14,1,0,0
34,4,4,1,0,0
35,2,30,1,0,1
1,1,31,1,1,1
21,10,38,1,0,1
6,1,11,0,0,1
28,2,35,2,1,0
17,1,8,2,0,0
5,13,3,0,0,1
31,3,14,0,0,0
5,1,13,0,0,1
3,9,45,2,1,0
23,8,32,2,1,0
10,1,34,0,0,0
10,8,45,0,0,0
19,12,19,0,0,0
17,5,38,0,0,0
21,0,16,1,0,1
14,3,2,2,0,0
9,14,40,1,0,0
1,13,17,1,1,1
13,0,34,0,0,1
4,13,42,0,0,0
1,5,16,2,0,1
32,13,38,1,1,0
34,12,2,0,0,1
28,3,2,1,0,1
31,2,26,0,0,0
8,2,13,3,1,0
26,8,47,1,0,0
34,5,31,0,1,0
3,8,34,0,1,0
12,12,39,2,1,0
1,4,3,2,0,0
5,1,8,0,0,1
30,7,23,1,0,0
30,4,14,1,1,0
17,1,27,2,0,1
23,3,29,1,0,0
15,8,39,1,0,1
21,14,39,1,0,0
14,3,1,2,0,0
2,12,17,3,0,0
11,11,41,1,0,0
34,11,30,1,1,0
34,11,13,1,0,0
18,12,21,1,0,1
30,14,19,1,0,0
15,13,19,0,0,1
27,3,25,0,1,0
34,1,22,4,0,0
33,12,31,1,0,0
24,11,17,1,0,0
15,14,23,1,1,0
30,5,32,1,0,0
17,12,10,1,1,0
5,10,10,1,0,1
29,13,36,1,0,0
4,1,8,1,0,1
10,11,20,1,1,0
17,6,32,3,0,0
10,2,14,1,1,0
17,14,28,0,0,0
20,2,46,0,0,0
24,4,24,1,0,0
5,2,15,1,1,1
34,1,22,0,0,1
6,9,30,1,1,0
2,8,4,1,1,1
13,1,13,2,1,0
11,13,23,1,0,1
23,10,8,2,0,0
16,1,18,2,1,1
31,12,12,0,0,0
11,14,31,3,0,0
16,7,14,2,0,1
8,14,34,2,0,1
4,8,18,0,0,1
4,6,34,0,0,1
25,2,11,0,0,0
3,8,41,1,0,1
32,2,12,1,0,0
3,4,49,1,0,1
27,8,15,0,0,1
29,11,31,0,0,0
32,13,49,1,0,0
19,13,29,0,0,0
21,2,26,2,0,0
5,6,18,4,1,1
18,11,32,0,0,0
28,0,22,2,1,1
22,3,38,4,0,1
21,3,17,0,0,0
6,6,23,1,0,0
1,7,24,0,0,1
5,0,8,1,0,0
12,4,41,0,0,0
26,6,6,0,0,0
34,11,5,2,0,0
14,3,44,0,0,0
26,12,29,2,1,0
27,3,28,1,0,0
9,3,11,3,0,1
26,11,1,4,0,1
22,5,43,0,0,0
30,6,19,2,1,0
17,1,9,0,0,0
26,14,27,1,0,0
1,4,34,1,1,1
8,3,44,1,0,0
35,14,4,1,0,0
15,13,36,0,1,0
22,12,18,2,0,0
14,2,15,3,0,1
26,6,13,2,0,0
28,10,19,0,0,0
23,11,49,1,0,0
14,5,6,0,1,0
24,13,48,1,0,1
2,6,12,1,1,0
26,4,37,3,1,1
14,12,17,3,0,1
7,5,23,2,0,0
3,4,26,0,0,1
23,13,29,1,1,0
18,6,33,1,1,0
35,1,27,2,0,0
15,13,25,3,0,0
25,10,10,1,0,0
28,4,47,3,1,1
10,5,23,1,0,0
17,5,21,0,0,0
22,14,21,2,1,0
26,4,43,1,0,0
25,9,13,2,0,0
17,6,37,2,0,0
13,9,33,3,0,1
20,7,24,0,0,0
25,6,44,3,1,0
4,4,11,2,0,0
10,0,17,2,0,0
3,12,4,3,0,1
18,4,47,0,0,0
22,9,25,1,0,0
34,1,30,2,1,1
8,12,9,0,1,0
19,4,21,2,0,0
6,4,20,1,0,0
26,1,19,1,0,1
34,4,19,2,1,0
6,12,12,0,0,0
33,3,37,1,1,0
22,0,42,0,0,0
21,2,17,2,1,0
6,0,37,2,1,0
6,11,48,2,1,0
4,10,39,1,0,1
30,14,28,2,0,0
11,4,41,2,0,0
30,3,35,2,1,0
31,6,47,0,0,0
24,4,48,1,1,0
9,9,18,0,1,0
3,13,14,3,0,1
31,3,35,0,1,0
24,1,44,0,0,0
31,3,41,2,0,0
6,11,7,0,0,0
2,1,41,1,0,0
20,7,13,1,1,0
28,2,18,1,0,0
11,8,37,0,0,0
4,12,13,1,0,1
15,3,36,0,1,0
6,12,31,0,0,0
30,5,2,0,1,0
2,9,16,2,0,1
15,4,9,1,0,0
11,9,9,3,0,1
8,12,38,3,0,1
26,0,11,2,1,0
5,8,22,3,0,1
6,0,33,1,1,0
26,7,36,0,0,0
4,8,45,1,0,1
19,8,23,1,1,0
20,0,45,1,1,1
33,1,45,1,0,0
20,11,34,0,0,0
12,12,9,0,0,0
1,0,24,0,0,0
26,9,8,1,1,0
14,1,7,1,1,0
11,9,36,3,0,0
13,11,18,0,1,0
3,7,3,1,0,1
33,4,28,0,0,0
6,11,6,0,0,0
10,10,44,1,0,0
5,6,44,1,0,1
23,1,21,1,0,1
10,7,28,0,0,0
2,10,40,1,0,1
13,5,1,2,1,0
2,7,36,1,0,0
20,0,21,1,0,1
1,14,43,1,1,0
9,0,35,4,1,1
17,11,13,1,1,0
9,6,49,0,0,1
11,7,10,0,0,0
15,12,44,1,0,0
24,2,47,1,0,0
35,4,10,1,1,0
30,11,46,1,0,0
31,0,13,3,0,0
5,6,37,1,0,0
14,4,38,1,0,0
11,7,24,0,1,0
9,12,2,0,0,0
34,7,22,3,0,0
12,8,17,0,0,0
35,6,36,2,0,0
35,10,14,1,0,1
1,0,10,2,0,0
22,12,35,1,0,0
29,2,25,0,1,0
8,7,3,0,1,0
11,2,47,5,1,1
14,7,38,1,1,0
30,0,17,1,0,1
35,4,12,0,0,0
21,3,24,2,0,0
5,4,29,0,1,1
19,7,43,0,1,0
14,9,25,0,1,0
26,14,36,0,0,0
4,13,26,2,1,0
25,3,38,1,0,0
25,10,1,0,0,0
18,3,20,2,0,0
8,14,28,0,0,0
14,2,16,2,0,0
32,6,47,0,0,0
33,2,17,1,0,1
23,11,40,0,0,0
15,2,28,1,1,0
33,10,12,1,0,0
25,9,27,0,0,0
17,4,42,0,1,0
33,4,47,0,1,0
2,13,30,1,0,1
14,5,41,1,0,0
6,7,34,1,0,0
6,9,37,0,0,0
3,5,6,1,0,1
7,14,7,3,1,0
8,11,32,1,0,0
15,0,32,0,1,0
29,14,25,1,1,0
33,7,33,1,1,0
30,7,7,2,0,0
27,8,12,2,1,0
29,8,16,0,0,1
33,1,16,1,0,1
27,14,43,2,0,0
33,1,36,2,0,0
4,2,13,1,1,1
22,0,7,4,0,1
2,3,36,2,0,1
10,13,47,4,0,1
5,3,9,2,0,0
10,13,32,1,0,1
33,8,11,2,1,0
13,8,8,1,0,0
31,8,33,2,0,0
24,9,23,0,0,0
15,6,25,2,0,0
29,13,8,3,0,0
8,14,45,2,0,0
5,1,22,1,1,1
29,9,4,1,0,0
4,4,40,0,0,1
12,3,3,0,0,1
2,11,29,0,1,0
27,10,41,1,0,1
31,7,29,3,0,0
26,1,34,3,1,0
27,5,34,2,0,0
5,12,28,1,0,1
20,4,13,1,0,1
11,14,15,1,0,0
10,11,23,1,0,0
6,1,44,2,0,1
8,10,26,1,0,0
23,9,4,2,0,0
26,14,26,1,0,0
12,0,40,2,1,0
26,7,9,0,1,0
13,1,5,0,1,1
18,6,32,0,0,0
25,8,20,1,0,0
33,8,11,2,0,0
12,7,15,4,0,0
4,10,32,0,1,0
5,13,28,1,0,1
8,11,22,1,0,0
28,9,41,2,0,0
31,8,17,1,0,0
9,1,26,4,0,0
29,5,44,0,0,0
14,3,7,2,0,0
22,13,42,1,1,0
11,3,26,1,0,0
23,4,25,0,1,0
1,11,10,1,1,0
21,2,45,0,0,1
26,13,19,1,1,0
23,0,11,1,0,0
1,7,13,1,1,0
15,4,8,3,0,0
21,2,40,1,0,1
9,9,4,1,0,0
9,13,47,1,0,0
10,6,31,2,1,0
26,6,28,0,0,0
35,0,11,3,0,1
25,11,43,1,0,0
26,8,1,0,1,0
11,14,49,0,0,0
2,1,47,1,0,0
7,4,38,0,0,0
18,12,24,2,1,0
27,13,47,1,0,1
34,4,31,0,0,0
27,13,41,0,0,0
17,7,46,1,1,0
24,13,26,0,0,0
25,7,49,2,0,0
7,13,5,1,0,0
6,6,20,1,1,0
24,6,41,1,1,0
33,11,11,1,0,0
29,10,33,1,0,1
22,5,38,5,0,0
26,5,27,0,0,0
28,10,34,1,0,0
21,8,15,2,0,1
7,5,32,1,0,0
17,11,21,0,1,0
20,12,46,2,0,1
20,12,5,1,0,0
22,1,6,1,0,1
28,1,38,1,0,0
7,12,22,0,0,0
1,4,18,0,0,0
32,14,14,2,0,0
13,3,10,0,1,0
30,10,46,3,1,0
23,1,13,2,0,1
19,14,31,4,0,0
32,14,30,1,0,0
30,2,3,3,0,0
29,6,30,0,0,0
29,7,6,2,1,0
30,11,29,1,1,0
16,12,8,1,1,0
19,5,44,0,0,0
18,10,45,1,1,0
1,4,43,0,1,0
14,12,44,0,0,0
2,0,33,2,0,0
28,7,17,0,1,0
30,2,48,0,0,0
4,14,11,3,0,1
1,5,13,2,0,1
8,2,11,1,0,1
29,6,31,4,0,0
3,12,28,1,1,0
32,13,44,1,0,1
10,6,6,2,0,0
10,11,41,2,0,0
19,14,16,1,0,0
34,8,4,1,0,1
33,4,35,3,0,0
23,14,48,3,0,0
28,7,26,1,0,0
32,9,12,1,0,0
7,9,11,1,0,0
29,7,37,2,0,0
8,0,25,0,0,0
1,11,18,0,1,0
3,4,19,1,0,1
24,2,23,1,0,1
23,0,38,0,0,1
8,3,18,2,0,0
3,7,26,2,1,1
33,2,6,1,0,0
28,9,4,1,0,0
8,1,44,2,0,0
34,10,29,2,0,0
35,8,34,3,1,1
32,9,17,3,0,0
24,4,43,2,0,0
14,13,43,0,0,0
32,6,16,2,0,0
16,10,2,1,1,0
4,10,34,1,0,1
21,1,8,2,0,1
14,8,13,2,0,0
31,12,42,2,0,1
18,8,8,0,0,0
7,3,30,0,0,0
10,3,32,0,0,0
7,5,36,2,0,0
33,9,47,0,0,0
23,9,30,2,1,0
21,9,1,2,0,0
19,5,43,2,0,1
19,11,39,1,0,0
29,0,17,0,0,1
18,13,20,1,0,1
2,13,24,0,1,0
1,8,22,0,0,1
5,1,29,0,0,1
20,4,22,1,0,0
11,8,44,1,0,0
2,3,9,1,0,1
3,10,37,1,1,0
23,2,10,2,0,0
12,14,36,1,0,0
20,6,37,3,0,0
5,5,28,3,0,0
30,7,28,1,0,0
9,2,42,1,0,1
34,4,43,1,0,0
35,9,21,0,0,0
22,3,24,2,0,0
24,14,42,1,0,1
17,12,40,0,0,0
10,3,2,1,0,0
30,3,8,0,0,0
23,9,48,1,0,0
32,7,27,1,0,0
17,5,22,2,1,0
17,2,37,1,0,0
14,9,27,2,0,1
9,4,29,0,0,0
2,5,3,2,0,1
25,4,44,0,0,0
9,5,13,2,0,0
22,7,45,1,0,1
4,6,10,1,0,0
26,4,36,1,0,0
29,9,9,3,1,1
34,5,27,0,0,0
23,13,34,2,0,1
11,3,1,2,0,0
6,11,32,1,0,0
18,8,25,1,0,0
21,12,29,2,0,0
34,3,7,2,0,0
17,0,49,1,0,1
25,6,3,0,1,0
12,6,20,1,1,0
23,3,20,0,0,0
22,12,30,2,0,1
21,13,35,3,0,0
27,2,35,2,0,1
31,7,49,1,0,0
6,4,39,0,0,0
27,9,27,1,1,0
34,6,26,1,0,0
12,3,14,2,0,0
7,3,17,3,0,1
10,7,18,1,1,0
17,13,45,1,0,0
26,7,29,1,0,0
21,1,20,0,0,0
28,13,27,1,1,0
2,1,18,1,0,1
1,2,4,1,1,1
26,14,1,2,0,0
29,11,1,1,0,0
21,11,26,1,0,0
11,2,45,2,0,0
11,0,20,0,0,1
35,14,23,1,1,0
34,13,10,2,0,0
24,2,11,1,0,1
22,5,41,2,0,0
5,7,41,0,0,0
33,12,5,1,0,0
20,11,1,0,0,0
19,13,17,1,0,0
35,9,22,1,0,0
17,5,34,0,1,0
34,4,45,0,0,0
9,14,41,0,1,0
26,3,29,1,0,0
2,2,4,0,0,1
9,12,5,1,0,0
9,3,11,3,0,0
17,13,21,0,1,0
1,6,35,1,0,0
25,0,12,3,0,1
25,6,26,1,1,0
35,0,19,1,0,0
3,1,45,1,0,0
30,14,7,1,0,1
34,3,47,2,1,0
12,0,7,1,0,1
19,10,26,2,0,0
17,11,40,1,0,0
10,10,5,3,1,0
12,14,21,2,0,0
16,10,14,1,0,0
24,8,4,2,0,0
19,11,23,2,1,0
8,5,42,0,1,0
31,12,20,1,1,0
21,0,15,0,0,0
17,0,45,1,0,0
23,5,29,0,0,0
16,3,8,1,1,0
6,3,41,3,0,0
8,14,48,3,0,1
25,10,19,3,1,0
18,14,48,1,0,0
25,5,39,0,0,0
12,14,46,1,0,1
15,13,28,1,0,0
26,11,46,1,1,0
26,10,27,2,0,0
32,6,4,0,0,0
10,8,15,0,0,0
16,9,35,2,0,0
7,4,37,0,0,1
17,8,1,3,0,0
23,3,3,0,0,0
26,12,47,0,0,0
21,9,24,0,0,0
22,1,27,0,0,1
7,2,40,0,1,0
14,12,36,0,1,0
15,10,34,2,1,0
7,0,29,2,0,1
9,13,24,1,0,0
8,13,24,1,0,0
23,5,42,1,0,0
29,12,4,0,0,0
18,5,3,1,0,1
31,0,34,5,1,1
30,10,49,3,0,0
35,12,23,3,0,0
18,2,23,0,1,0
17,4,45,1,0,0
14,2,5,2,1,1
31,9,31,1,1,0
24,2,41,2,1,1
35,13,6,1,0,0
34,9,37,2,0,0
3,2,10,1,0,1
26,4,40,2,0,0
23,12,7,1,0,1
15,4,39,1,0,1
4,3,38,3,0,1
29,0,21,1,0,0
22,4,20,2,1,0
25,9,3,3,1,1
13,4,22,1,0,1
18,3,47,0,0,0
33,5,4,3,1,0
16,9,28,2,0,0
2,3,12,1,1,0
35,13,38,2,1,0
34,6,36,0,0,0
30,6,47,0,1,0
13,1,41,0,0,0
13,2,5,2,0,1
18,0,13,0,0,1
32,7,23,2,0,0
32,8,30,1,1,0
35,3,37,0,0,0
29,5,25,0,0,0
29,8,48,2,0,0
16,5,27,2,1,0
10,13,14,1,1,0
30,11,48,0,1,0
25,11,47,4,0,0
20,11,36,0,0,0
5,8,39,2,0,1
1,14,16,3,0,0
30,3,22,2,0,0
3,7,21,1,0,1
14,8,21,1,0,0
30,3,8,1,1,0
4,4,49,1,0,1
18,13,16,0,0,0
25,7,31,2,0,0
1,11,42,0,1,0
15,9,10,3,1,0
9,13,32,1,1,0
15,5,34,0,0,0
24,11,9,3,1,1
4,6,17,1,0,1
12,2,11,1,0,0
